,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
306,КСУ-БЕН-6,107.9,2023-01-30 16:00:00
308,КСУ-БЕН-8,102.6,2023-01-30 22:00:00
310,КСУ СУТ,107.7,2023-01-30 23:00:00
311,КСУ БЕН-3,136.6,2023-01-31 04:00:00
312,БМ,4285,2023-01-31 06:00:00
313,АСН-2,40.6,2023-01-31 08:30:00
314,КСУ БЕН-9,105.4,2023-01-31 10:00:00
315,КСУ БЕН-3,118.2,2023-01-31 16:00:00
317,КСУ БЕН-7,157.3,2023-01-31 22:00:00
318,КСУ СУТ,117.4,2023-01-31 23:00:00
319,КСУ БЕН-1,167.2,2023-02-01 04:00:00
320,БМ,4976.5,2023-02-01 06:00:00
321,АСН-3,52.4,2023-02-01 08:10:00
322,КСУ-БЕН-3,150.7,2023-02-01 10:00:00
323,КСУ-БЕН-5,126.6,2023-02-01 16:00:00
325,КСУ БЕН-7,148.1,2023-02-01 22:00:00
327,КСУ СУТ,57.2,2023-02-01 23:00:00
328,АСН-2,35.9,2023-02-02 00:45:00
329,КСУ БЕН-1,96.8,2023-02-02 04:00:00
330,БМ,4546.6,2023-02-02 06:00:00
331,АСН-2,26.2,2023-02-02 08:10:00
332,КСУ-БЕН-4,106.3,2023-02-02 10:00:00
333,КСУ-БЕН-6,106.1,2023-02-02 16:00:00
335,КСУ БЕН-9,97.8,2023-02-02 22:00:00
337,КСУ СУТ,32,2023-02-02 23:00:00
338,КСУ БЕН-4,81.7,2023-02-03 04:00:00
339,БМ,5951.1,2023-02-03 06:00:00
340,АСН-3,49.9,2023-02-03 08:10:00
341,КСУ БЕН-6,121.3,2023-02-03 10:00:00
342,КСУ БЕН-1,141,2023-02-03 16:00:00
344,КСУ БЕН-3,143.3,2023-02-03 22:00:00
346,КСУ СУТ,81.6,2023-02-03 23:00:00
347,КСУ БЕН-6,120.3,2023-02-04 04:00:00
348,БМ,4681.4,2023-02-04 06:00:00
349,АСН-2,33.1,2023-02-04 08:10:00
350,КСУ-БЕН-1,136.2,2023-02-04 10:00:00
351,КСУ-БЕН-3,139,2023-02-04 16:00:00
353,КСУ БЕН-6,170.3,2023-02-04 22:00:00
355,КСУ СУТ,166.5,2023-02-04 23:00:00
356,АСН-3,47.2,2023-02-05 00:40:00
357,КСУ БЕН-2,172.6,2023-02-05 04:00:00
358,БМ,5393.6,2023-02-05 06:00:00
359,АСН-2,56.4,2023-02-05 08:10:00
360,КСУ-БЕН-5,146.3,2023-02-05 10:00:00
361,КСУ БЕН-8,132,2023-02-05 16:00:00
363,КСУ БЕН-2,96.5,2023-02-05 22:00:00
365,КСУ СУТ,27.6,2023-02-05 23:00:00
366,КСУ БЕН-7,104.4,2023-02-06 04:00:00
367,БМ,4268,2023-02-06 06:00:00
368,АСН-2,31,2023-02-06 08:10:00
369,КСУ БЕН-1,101.4,2023-02-06 10:00:00
370,КСУ БЕН-3,108.5,2023-02-06 16:00:00
372,КСУ БЕН-7,101.7,2023-02-06 22:00:00
374,КСУ СУТ,42.2,2023-02-06 23:00:00
375,КСУ БЕН-1,138.9,2023-02-07 04:00:00
376,БМ,4613.4,2023-02-07 06:00:00
377,АСН-2,52.9,2023-02-07 08:10:00
378,КСУ БЕН-3,172.3,2023-02-07 09:00:00
379,КСУ БЕН-7,129.5,2023-02-07 16:00:00
381,КСУ БЕН-1,96.4,2023-02-07 22:00:00
383,КСУ СУТ,125.7,2023-02-07 23:00:00
384,КСУ БЕН-5,111.1,2023-02-08 04:00:00
385,БМ,4455.6,2023-02-08 06:00:00
386,АСН-2,42.5,2023-02-08 08:10:00
387,КСУ БЕН-9,106.8,2023-02-08 10:00:00
388,КСУ БЕН-4,117,2023-02-08 16:00:00
390,АСН-1-6,99.6,2023-02-08 22:00:00
392,КСУ СУТ,59.9,2023-02-08 23:00:00
393,АСН-3,36.5,2023-02-09 00:05:00
394,КСУ БЕН-3,109.5,2023-02-09 04:00:00
395,БМ,5400.3,2023-02-09 06:00:00
396,АСН-2,49.1,2023-02-09 08:10:00
397,КСУ БЕН-7,93.4,2023-02-09 10:00:00
398,КСУ БЕН-9,83.7,2023-02-09 16:00:00
400,КСУ БЕН-3,137.6,2023-02-09 22:00:00
402,КСУ СУТ,47.3,2023-02-09 23:00:00
403,КСУ-БЕН-5,154.4,2023-02-10 04:00:00
404,БМ,4811,2023-02-10 06:00:00
405,КСУ-БЕН-9,88.1,2023-02-10 10:00:00
406,АСН-2,90.1,2023-02-10 10:15:00
407,КСУ-БЕН-3,107.2,2023-02-10 16:00:00
